139,0,0,red
204,22,0,red
206,0,25,red
220,0,3,red
254,0,0,red
61,13,3,red
128,24,24,red
174,32,26,red
254,0,2,red
209,23,23,red
255,255,0,yellow
255,242,39,yellow
249,217,94,yellow
252,234,4,yellow
255,183,9,yellow
247,224,23,yellow
254,242,0,yellow
246,191,39,yellow
255,215,12,yellow
255,166,0,yellow
159,217,140,green
125,194,75,green
37,202,38,green
0,166,82,green
64,189,85,green
0,128,1,green
35,67,17,green
123,252,1,green
0,255,0,green
33,83,54,green
125,232,88,green
252,79,19,orange
255,102,0,orange
255,127,0,orange
255,128,0,orange
255,103,0,orange
255,122,1,orange
254,101,33,orange
255,153,0,orange
255,103,0,orange
249,255,241,white
253,251,251,white
242,233,228,white
242,233,228,white
250,240,230,white
243,239,227,white
255,237,231,white
229,224,221,white
248,249,254,white
238,228,220,white
9,0,0,black
28,29,33,black
27,32,35,black
36,29,33,black
0,0,0,black
49,54,57,black
47,47,47,black
40,39,45,black
37,37,37,black
10,18,13,black
28,28,28,black
3,91,188,blue
1,119,193,blue
0,0,254,blue
0,0,255,blue
0,0,124,blue
0,0,154,blue
